"city","population","country","lat","lng"
"Ath Thawrah",87880,"Syria",35.8376,38.5483
"Canakkale",87791,"Turkey",40.1555,26.4127
"Patnos",87451,"Turkey",39.2249,42.8569
"Bush",86608,"Egypt",29.1482,31.1273
"Al Farwaniyah",86525,"Kuwait",29.2775,47.9586
"Borazjan",86059,"Iran",29.2699,51.2188
"Tarut",85371,"Saudi Arabia",26.5733,50.0403
"Hawsh `Isa",85352,"Egypt",30.9128,30.2902
"Rukban",85000,"Jordan",33.314,38.7034
"Akhisar",84659,"Turkey",38.9185,27.8401
"Cerkezkoey",84234,"Turkey",41.2863,27.9994
"Munuf",83651,"Egypt",30.466,30.932
"Herzliya",83600,"Israel",32.1663,34.8254
"Amasya",82896,"Turkey",40.6533,35.8331
"Shirvan",82790,"Iran",37.3967,57.9295
"Ash Shatrah",82732,"Iraq",31.4091,46.1727
"Mus",82536,"Turkey",38.7316,41.4848
"Ashmun",82507,"Egypt",30.2973,30.9764
"Madaba",82335,"Jordan",31.716,35.7939
"Nizip",82308,"Turkey",37.0097,37.7942
"Kilis",82301,"Turkey",36.7161,37.115
"Fatsa",82160,"Turkey",41.0278,37.5014
"Qal`at Bishah",81828,"Saudi Arabia",20.0005,42.6052
"Ar Rass",81728,"Saudi Arabia",25.8694,43.4973
"Barka'",81647,"Oman",23.6787,57.8861
"Salmas",81606,"Iran",38.1973,44.7653
"Al Hasakah",81539,"Syria",36.5024,40.7477
"Cizre",80992,"Turkey",37.3302,42.1848
"Kfar Saba",80773,"Israel",32.175,34.9069
"Bingol",80568,"Turkey",38.8847,40.4939
"Elbistan",80456,"Turkey",38.2059,37.1983
"Bonab",80359,"Iran",37.3404,46.0561
"As Salt",80189,"Jordan",32.0392,35.7272
"Ra'anana",80000,"Israel",32.1836,34.8739
"Shahre Jadide Andisheh",80000,"Iran",35.6803,51.0193
"Ar Rifa'",79550,"Bahrain",26.13,50.555
"Rustaq",79383,"Oman",23.3908,57.4244
"Behbahan",79327,"Iran",30.5959,50.2417
"Manfalut",78744,"Egypt",27.3104,30.97
"Al Hayy",78272,"Iraq",32.1742,46.0434
"Zahle",78145,"Lebanon",33.8467,35.902
"Hakkari",77699,"Turkey",37.5744,43.7408
"UEnye",77585,"Turkey",41.1314,37.2825
"Shushtar",77507,"Iran",32.0497,48.8484
"Kars",77486,"Turkey",40.5983,43.0855
"Khomeyn",77425,"Iran",33.6389,50.08
"Damietta",76839,"Egypt",31.4165,31.8133
"Midyat",76268,"Turkey",37.4191,41.3391
"Nahavand",76250,"Iran",34.1909,48.3745
"Hadera",75854,"Israel",32.4419,34.9039
"Igdir",75721,"Turkey",39.9237,44.045
"Jamjamal",75634,"Iraq",35.5336,44.8343
"Nevsehir",75527,"Turkey",38.625,34.7122
"Silifke",75315,"Turkey",36.3778,33.9344
"Ar Ramtha",74901,"Jordan",32.5587,36.0082
"Alvand",74889,"Iran",36.3189,49.1677
"Silopi",74798,"Turkey",37.2438,42.4635
"Bismil",74493,"Turkey",37.8451,40.6593
"Kafr az Zayyat",73725,"Egypt",30.8248,30.8181
"Al Buraymi",73670,"Oman",24.2509,55.7931
"Nurabad",73528,"Iran",34.0734,47.9725
"Naqadeh",73528,"Iran",36.9553,45.388
"Belek",73260,"Turkey",36.8628,31.0556
"Tatvan",73222,"Turkey",38.4922,42.2827
"Kahta",73105,"Turkey",37.7855,38.6237
"Ash Shafa",72190,"Saudi Arabia",21.0721,40.3119
"Nizwa",72076,"Oman",22.9333,57.5333
"Larnaca",72000,"Cyprus",34.9229,33.6233
"Yuksekova",71729,"Turkey",37.5736,44.2872
"Darayya",71596,"Syria",33.4584,36.2326
"Takestan",71499,"Iran",36.0706,49.6957
"Khanjarah",71379,"Turkey",40.5999,33.6153
"Mardin",71373,"Turkey",37.3131,40.7436
"Yalova",71289,"Turkey",40.655,29.2769
"Abu Tij",71257,"Egypt",27.0441,31.319
"Sur",71152,"Oman",22.5667,59.5289
"Gemlik",71063,"Turkey",40.4309,29.1597
"Minab",70790,"Iran",27.131,57.0872
"Kastamonu",70402,"Turkey",41.3781,33.7753
"Kadirli",70248,"Turkey",37.3739,36.0961
"Dogubayazit",70171,"Turkey",39.5469,44.0842
"Khalis",70046,"Iraq",33.8081,44.5334
"Ayvalik",70002,"Turkey",39.3193,26.6934
"Abhar",69889,"Iran",36.1468,49.218
"Dehdasht",69726,"Iran",30.7949,50.5646
"Chalus",69638,"Iran",36.655,51.4204
"Khash",69603,"Iran",28.2211,61.2158
"Sayyan",69404,"Yemen",15.1718,44.3244
"Isna",69335,"Egypt",25.2934,32.554
"Abnub",68749,"Egypt",27.2696,31.1511
"Al Qusiyah",68394,"Egypt",27.4402,30.8184
"Al Jammaliyah",68381,"Egypt",31.1807,31.865
"Al Fahahil",68290,"Kuwait",29.0825,48.1303
"Soeke",68230,"Turkey",37.7482,27.4061
"Langarud",68148,"Iran",37.1955,50.1526
"Ardesen",67965,"Turkey",41.1911,40.9875
"Dayrut",67788,"Egypt",27.556,30.8076
"Al Kharijah",67700,"Egypt",25.4514,30.5464
"Damghan",67694,"Iran",36.1679,54.3429
"Toukh",67599,"Egypt",30.3549,31.201
"Al Manzalah",67486,"Egypt",31.1582,31.936
"OEdemis",67153,"Turkey",38.2278,27.9695
"Bet Shemesh",67100,"Israel",31.7307,34.9929
"Sayhat",66702,"Saudi Arabia",26.4834,50.0485
"Lod",66589,"Israel",31.9467,34.8903
"Firuzabad",66558,"Iran",28.8438,52.5707
"Burdur",66158,"Turkey",37.7203,30.2908
"I`zaz",66138,"Syria",36.5866,37.0463
"Silvan",65956,"Turkey",38.1371,41.0082
"Soma",65934,"Turkey",39.1855,27.6094
"Jablah",65915,"Syria",35.3621,35.9276
"Dar Kulayb",65466,"Bahrain",26.0686,50.5039
"Nazareth",64800,"Israel",32.6992,35.3048
"Ahlat",64695,"Turkey",38.7489,42.4801
"Rosetta",64481,"Egypt",31.3995,30.4172
"Aksehir",64446,"Turkey",38.3575,31.4164
"Modiin Ilit",64179,"Israel",31.9322,35.0442
"Nurabad",64041,"Iran",30.114,51.5217
"Awsim",63862,"Egypt",30.123,31.1357
"Ramla",63860,"Israel",31.9292,34.8656
"Al Fashn",63793,"Egypt",28.8243,30.8995
"As Safirah",63708,"Syria",36.077,37.3725
"Darab",63319,"Iran",28.7519,54.5444
"Fuwwah",63310,"Egypt",31.2036,30.5491
"Kusadasi",63177,"Turkey",37.8601,27.2571
"Sorgun",62862,"Turkey",39.8101,35.186
"Faqus",62821,"Egypt",30.7282,31.797
"Robat Karim",62753,"Iran",35.4846,51.0829
"Cubuk",62602,"Turkey",40.2386,33.0322
"Al Khankah",62434,"Egypt",30.2104,31.3681
"Al Fujayrah",62415,"United Arab Emirates",25.1164,56.3414
"Mersa Matruh",62042,"Egypt",31.3529,27.2372
"Piranshahr",61973,"Iran",36.701,45.1413
"Al Qurayn",61730,"Egypt",30.6162,31.7351
